Column1,lat,long,address,closestMRTStation,distToMRTStation,timeToMRTStation,MRTStationsIn10km
165,1.331305178,103.9099922,BEDOK RESERVOIR RD 121,Kaki Bukit,0.494,5.916666667,71
166,1.336354906,103.9202036,BEDOK RESERVOIR RD 704,Bedok North,0.378,4.533333333,50
167,1.330892472,103.9099209,BEDOK RESERVOIR RD 120,Kaki Bukit,0.566,6.783333333,69
168,1.331893274,103.917027,BEDOK RESERVOIR RD 613,Bedok North,0.502,6.033333333,58
169,1.33621989,103.9343276,BEDOK RESERVOIR VIEW 762,Bedok Reservoir,0.186,2.233333333,36
170,1.336181973,103.9340432,BEDOK RESERVOIR VIEW 761,Bedok Reservoir,0.152,1.833333333,36
171,1.322332207,103.9397662,BEDOK STH AVE 2 35,Tanah Merah,1.185,14.21666667,33
172,1.319048522,103.9456221,BEDOK STH AVE 3 159,Tanah Merah,1.226,14.71666667,26
173,1.321478478,103.940721,BEDOK STH RD 42,Tanah Merah,1.23,14.75,32
174,1.321115548,103.9416755,BEDOK STH RD 44,Tanah Merah,1.178,14.15,30
175,1.320986319,103.93981,BEDOK STH RD 40,Tanah Merah,1.361,16.33333333,32
176,1.323311612,103.9236205,CHAI CHEE RD 26,Bedok,0.856,10.28333333,48
177,1.32789303,103.9238749,CHAI CHEE RD 808C,Bedok,1.066,12.78333333,46
178,1.329304314,103.9224158,CHAI CHEE ST 50,Bedok,1.309,15.7,48
179,1.323976876,103.9106896,LENGKONG TIGA 110,Kembangan,0.608,7.3,67
180,1.323903872,103.9425114,NEW UPP CHANGI RD 52,Tanah Merah,0.769,9.216666667,30
181,1.324678528,103.9397703,NEW UPP CHANGI RD 65,Tanah Merah,0.867,10.4,33
182,1.331493663,103.9278187,BEDOK NTH AVE 1 553,Bedok Reservoir,1.179,14.15,40
183,1.330236932,103.9135081,BEDOK RESERVOIR RD 605,Bedok North,0.933,11.2,61
184,1.334399074,103.9145012,BEDOK RESERVOIR RD 629,Bedok North,0.564,6.766666667,61
185,1.332569536,103.9177508,BEDOK RESERVOIR RD 613A,Bedok North,0.431,5.166666667,56
186,1.337552089,103.9254493,BEDOK RESERVOIR RD 717,Bedok North,1.061,12.73333333,42
187,1.335925042,103.9384609,BEDOK RESERVOIR VIEW 770,Bedok Reservoir,0.712,8.55,34
188,1.335934062,103.9388663,BEDOK RESERVOIR VIEW 771,Bedok Reservoir,0.765,9.183333333,33
189,1.318286638,103.9454818,BEDOK STH AVE 3 156,Tanah Merah,1.268,15.21666667,26
190,1.319952059,103.9337182,BEDOK STH RD 20,Bedok,1.057,12.68333333,36
191,1.331273948,103.9061715,JLN TENAGA 646,Kaki Bukit,0.717,8.6,78
192,1.324860878,103.942554,NEW UPP CHANGI RD 54,Tanah Merah,0.61,7.316666667,32
193,1.322754699,103.9407764,NEW UPP CHANGI RD 61,Tanah Merah,1.037,12.45,32
194,1.33056066,103.9098389,BEDOK RESERVOIR RD 114,Kaki Bukit,0.597,7.166666667,68
195,1.330673944,103.9087384,BEDOK RESERVOIR RD 115,Kaki Bukit,0.581,6.966666667,71
196,1.330388938,103.9052209,BEDOK RESERVOIR RD 633,Kaki Bukit,0.857,10.28333333,79
197,1.336292448,103.9261017,BEDOK RESERVOIR RD 721,Bedok Reservoir,0.954,11.45,39
198,1.334759317,103.9087091,JLN DAMAI 663,Kaki Bukit,0.102,1.216666667,71
199,1.347918389,103.8487501,BISHAN ST 12 115,Bishan,0.559,6.716666667,78
200,1.349922085,103.8517541,BISHAN ST 13 188,Bishan,0.715,8.583333333,74
201,1.350480166,103.8387713,SHUNFU RD 307,Marymount,0.246,2.966666667,75
202,1.354352709,103.8358237,SIN MING RD 23,Marymount,0.886,10.65,68
203,1.357284441,103.8393967,SIN MING RD 22,Marymount,1.245,14.95,65
204,1.343877033,103.8551064,BISHAN ST 11 147,Bishan,1.448,17.38333333,76
205,1.346487206,103.8504611,BISHAN ST 12 123,Bishan,0.79,9.483333333,79
206,1.347231851,103.848809,BISHAN ST 12 113,Bishan,0.683,8.2,78
207,1.356017365,103.8456681,BISHAN ST 22 292,Bishan,0.93,11.16666667,69
208,1.361084999,103.8446356,BISHAN ST 22 243,Bishan,1.444,17.33333333,69
209,1.358546005,103.8471273,BISHAN ST 23 226,Bishan,1.092,13.1,69
210,1.357930021,103.8420881,BISHAN ST 24 266,Marymount,1.185,14.21666667,71
211,1.35831238,103.8420882,BISHAN ST 24 265,Marymount,1.227,14.73333333,70
212,1.357614887,103.8421456,BISHAN ST 24 268,Marymount,1.13,13.56666667,72
213,1.350882203,103.8393397,SHUNFU RD 311,Marymount,0.228,2.733333333,75
214,1.358510909,103.830067,SIN MING AVE 451,Marymount,1.926,23.11666667,55
215,1.345512491,103.8483142,BISHAN ST 12 103,Bishan,0.803,9.633333333,77
216,1.349198229,103.8561944,BISHAN ST 13 165,Bishan,1.156,13.88333333,76
217,1.348003411,103.8553957,BISHAN ST 13 167,Bishan,1.071,12.86666667,76
218,1.347751187,103.8542583,BISHAN ST 13 173,Bishan,1.037,12.43333333,76
219,1.356939028,103.845176,BISHAN ST 24 288,Bishan,0.928,11.13333333,72
220,1.35591015,103.8451584,BISHAN ST 24 291,Bishan,0.981,11.76666667,69
221,1.35673539,103.8435198,BISHAN ST 24 275A,Bishan,1.161,13.95,69
222,1.347579595,103.8559485,BISHAN ST 13 162,Bishan,1.173,14.1,77
223,1.34956737,103.8515031,BISHAN ST 13 187,Bishan,0.675,8.1,74
224,1.359716874,103.8431031,BISHAN ST 22 257,Bishan,1.395,16.75,69
225,1.351074378,103.7387554,BT BATOK WEST AVE 8 445B,Chinese Garden,1.666,19.98333333,32
226,1.348757884,103.7594517,BT BATOK EAST AVE 4 269,Bukit Batok,1.456,17.46666667,37
227,1.350008396,103.7598628,BT BATOK EAST AVE 4 265,Bukit Batok,1.477,17.73333333,38
228,1.348815442,103.7579519,BT BATOK EAST AVE 4 272,Bukit Batok,1.214,14.58333333,37
229,1.348483521,103.7563004,BT BATOK EAST AVE 5 235,Bukit Batok,0.973,11.68333333,37
230,1.348825265,103.7551276,BT BATOK EAST AVE 5 233,Bukit Batok,0.806,9.666666667,37
231,1.349832265,103.7547382,BT BATOK EAST AVE 5 238,Bukit Batok,0.815,9.783333333,37
232,1.349182698,103.7572392,BT BATOK EAST AVE 5 244,Bukit Batok,1.199,14.4,37
233,1.350959508,103.7562334,BT BATOK EAST AVE 5 242,Bukit Batok,1.018,12.21666667,37
234,1.344728446,103.7546076,BT BATOK EAST AVE 6 292A,Bukit Batok,1.025,12.3,37
235,1.348884904,103.7420358,BT BATOK ST 11 160,Bukit Batok,1.035,12.41666667,36
236,1.346774967,103.7533359,BT BATOK ST 21 215,Bukit Batok,0.78,9.366666667,37
237,1.34502077,103.7552859,BT BATOK ST 21 293D,Bukit Batok,1.3,15.6,37
238,1.360576605,103.746834,BT BATOK ST 32 316,Bukit Gombak,0.735,8.833333333,31
239,1.361316993,103.7477412,BT BATOK ST 33 321,Bukit Gombak,0.661,7.933333333,31
240,1.355906982,103.7504116,BT BATOK ST 51 534,Bukit Gombak,0.449,5.383333333,34
241,1.352248316,103.7546638,BT BATOK ST 52 506,Bukit Batok,0.895,10.73333333,36
242,1.35669994,103.7523064,BT BATOK ST 52 523,Bukit Gombak,0.371,4.45,34
243,1.355115164,103.7508779,BT BATOK ST 52 537,Bukit Gombak,0.548,6.583333333,34
244,1.363268779,103.7466107,BT BATOK WEST AVE 4 415,Bukit Gombak,0.993,11.91666667,30
245,1.363576106,103.7459774,BT BATOK WEST AVE 4 414,Bukit Gombak,1.086,13.05,30
246,1.35106126,103.7458574,BT BATOK WEST AVE 6 130,Bukit Batok,0.685,8.216666667,36
247,1.345132839,103.744862,BT BATOK WEST AVE 6 194B,Bukit Batok,0.861,10.33333333,37
248,1.351429752,103.7460307,BT BATOK WEST AVE 6 129,Bukit Batok,0.701,8.416666667,36
249,1.35073333,103.7462613,BT BATOK WEST AVE 6 131,Bukit Batok,0.584,7,37
250,1.345557925,103.742841,BT BATOK WEST AVE 8 180,Bukit Batok,1.022,12.26666667,37
251,1.351719749,103.7490228,BT BATOK CTRL 626,Bukit Batok,0.512,6.15,37
252,1.351341461,103.7495086,BT BATOK CTRL 624,Bukit Batok,0.446,5.35,37
253,1.350616557,103.7565642,BT BATOK EAST AVE 5 249,Bukit Batok,1.091,13.08333333,37
254,1.344779532,103.7539617,BT BATOK EAST AVE 6 292B,Bukit Batok,0.954,11.45,37
255,1.344975788,103.7536147,BT BATOK EAST AVE 6 292C,Bukit Batok,0.91,10.93333333,38
256,1.345935656,103.7546509,BT BATOK ST 21 293A,Bukit Batok,0.899,10.8,37
257,1.346000907,103.7503677,BT BATOK ST 21 211,Bukit Batok,0.509,6.116666667,38
258,1.345949255,103.7542483,BT BATOK ST 21 293B,Bukit Batok,0.879,10.55,37
259,1.344093582,103.7464092,BT BATOK ST 22 296A,Bukit Batok,0.68,8.15,38
260,1.343697967,103.7481581,BT BATOK ST 22 296C,Bukit Batok,0.815,9.766666667,38
261,1.343157,103.7558623,BT BATOK ST 24 291B,Bukit Batok,1.34,16.1,37
262,1.343377778,103.7571747,BT BATOK ST 24 290G,Bukit Batok,1.402,16.83333333,37
263,1.346100328,103.7597547,BT BATOK ST 25 288C,Bukit Batok,1.554,18.65,38
264,1.34463617,103.7590468,BT BATOK ST 25 289F,Bukit Batok,1.482,17.78333333,37
265,1.364928925,103.7483655,BT BATOK ST 32 336,Bukit Gombak,0.993,11.91666667,30
266,1.362601611,103.7474249,BT BATOK ST 33 325,Bukit Gombak,0.844,10.13333333,30
267,1.363126337,103.7474185,BT BATOK ST 33 329,Bukit Gombak,0.924,11.1,30
268,1.362471404,103.7505611,BT BATOK ST 34 346,Bukit Gombak,0.483,5.783333333,31
269,1.354054852,103.7523202,BT BATOK ST 52 513,Bukit Gombak,0.69,8.283333333,34
270,1.362890991,103.7465392,BT BATOK WEST AVE 4 417,Bukit Gombak,0.956,11.46666667,30
271,1.366316899,103.7522876,BT BATOK WEST AVE 5 395,Bukit Gombak,0.922,11.06666667,30
272,1.362323152,103.7522172,BT BATOK WEST AVE 5 383,Bukit Gombak,0.434,5.2,31
273,1.363939422,103.752556,BT BATOK WEST AVE 5 386,Bukit Gombak,0.625,7.5,31
274,1.346513441,103.7446144,BT BATOK WEST AVE 6 187,Bukit Batok,0.803,9.633333333,37
275,1.344680501,103.7455139,BT BATOK WEST AVE 6 194A,Bukit Batok,0.744,8.933333333,37
276,1.350009516,103.7464996,BT BATOK WEST AVE 6 118,Bukit Batok,0.51,6.133333333,37
277,1.355138388,103.7370315,BT BATOK WEST AVE 8 440D,Chinese Garden,2.335,28.01666667,30
278,1.350974191,103.7392403,BT BATOK WEST AVE 8 445A,Bukit Batok,1.498,17.98333333,33
279,1.356123275,103.7378312,BT BATOK WEST AVE 8 443B,Chinese Garden,2.258,27.08333333,31
280,1.34640775,103.7415373,BT BATOK WEST AVE 8 177,Bukit Batok,1.075,12.9,36
281,1.351978864,103.7410812,BT BATOK WEST AVE 9 449B,Bukit Batok,1.378,16.53333333,33
282,1.352348619,103.7415102,BT BATOK WEST AVE 9 449A,Bukit Batok,1.388,16.66666667,33
283,1.346747073,103.7584386,BT BATOK EAST AVE 3 286,Bukit Batok,1.31,15.73333333,37
284,1.345370935,103.7549894,BT BATOK ST 21 293C,Bukit Batok,0.917,11.01666667,37
285,1.343693814,103.7473568,BT BATOK ST 22 296B,Bukit Batok,0.752,9.016666667,37
286,1.361679744,103.7448974,BT BATOK WEST AVE 2 426,Bukit Gombak,1.02,12.23333333,30
287,1.36534587,103.7521421,BT BATOK WEST AVE 5 389,Bukit Gombak,0.794,9.533333333,30
288,1.347544439,103.7457968,BT BATOK WEST AVE 6 110,Bukit Batok,0.59,7.083333333,37
289,1.35038382,103.7391946,BT BATOK WEST AVE 8 446A,Bukit Batok,1.431,17.16666667,35
290,1.35513827,103.7378612,BT BATOK WEST AVE 8 440C,Chinese Garden,2.315,27.76666667,30
291,1.352043477,103.7469523,BT BATOK CTRL 122,Bukit Batok,0.677,8.133333333,36
292,1.351059427,103.7477123,BT BATOK CTRL 120,Bukit Batok,0.487,5.85,37
293,1.351625571,103.7480114,BT BATOK CTRL 121,Bukit Batok,0.51,6.116666667,36
294,1.344247089,103.747101,BT BATOK ST 22 299,Bukit Batok,0.692,8.3,37
295,1.361387487,103.7497292,BT BATOK ST 31 354,Bukit Gombak,0.482,5.783333333,31
296,1.360364788,103.7489167,BT BATOK ST 31 366,Bukit Gombak,0.463,5.566666667,31
297,1.361654964,103.7508747,BT BATOK ST 31 357,Bukit Gombak,0.406,4.866666667,31
298,1.362570999,103.7481555,BT BATOK ST 33 326,Bukit Gombak,0.76,9.116666667,31
299,1.365140402,103.7448651,BT BATOK WEST AVE 7 403,Bukit Gombak,1.382,16.58333333,30
300,1.288525352,103.8284586,BEO CRES 24,Tiong Bahru,0.622,7.466666667,67
301,1.286403502,103.809742,JLN BT MERAH 28,Redhill,1.069,12.83333333,59
302,1.284587128,103.8243603,BT MERAH VIEW 130,Tiong Bahru,0.511,6.133333333,66
303,1.283422477,103.8210682,BT MERAH VIEW 119,Tiong Bahru,1.063,12.76666667,63
304,1.273919926,103.8402609,CANTONMENT CL 16,Outram Park,0.828,9.933333333,65
305,1.281071165,103.8114057,DEPOT RD 105A,Redhill,1.855,22.25,56
306,1.281428248,103.8092428,DEPOT RD 110A,Labrador Park,1.821,21.86666667,56
307,1.276684338,103.8394591,EVERTON PK 5,Outram Park,0.545,6.55,67
308,1.28951776,103.8284671,HAVELOCK RD 52,Tiong Bahru,0.883,10.6,68
309,1.286492541,103.8214336,HENDERSON RD 95A,Redhill,0.811,9.733333333,63
310,1.288076876,103.8270813,JLN BT HO SWEE 34,Tiong Bahru,0.524,6.283333333,66
311,1.283332178,103.8191381,JLN BT MERAH 2,Redhill,0.924,11.08333333,61
312,1.286471486,103.8082751,JLN BT MERAH 1,Redhill,1.252,15.03333333,58
313,1.277008235,103.8280562,JLN BT MERAH 142,Tiong Bahru,1.408,16.9,63
314,1.280189423,103.8281784,JLN BT MERAH 131,Tiong Bahru,0.947,11.36666667,64
315,1.279836902,103.8247578,JLN BT MERAH 107,Tiong Bahru,1.078,12.93333333,62
316,1.281962435,103.8295591,KIM TIAN RD 127A,Tiong Bahru,0.933,11.2,64
317,1.285465349,103.8317194,LIM LIAK ST 23,Tiong Bahru,0.65,7.8,71
318,1.28540981,103.8312809,LIM LIAK ST 25,Tiong Bahru,0.601,7.2,70
319,1.284003917,103.8315298,SENG POH RD 46,Tiong Bahru,0.783,9.4,69
320,1.277360665,103.8316002,SILAT AVE 149,Outram Park,1.145,13.75,65
321,1.276559216,103.8198219,TELOK BLANGAH CRES 22,HarbourFront,1.692,20.31666667,59
322,1.278724029,103.8192204,TELOK BLANGAH CRES 5,Telok Blangah,1.594,19.11666667,59
323,1.277060448,103.8207621,TELOK BLANGAH CRES 15,Tiong Bahru,1.617,19.4,59
324,1.27790985,103.8225358,TELOK BLANGAH CRES 18,Tiong Bahru,1.429,17.15,60
325,1.27718546,103.8195162,TELOK BLANGAH CRES 12,Telok Blangah,1.637,19.63333333,59
326,1.279456601,103.8178976,TELOK BLANGAH CRES 1,Telok Blangah,1.467,17.58333333,61
327,1.276631523,103.8208971,TELOK BLANGAH CRES 21,Tiong Bahru,1.609,19.31666667,60
328,1.277731532,103.8197694,TELOK BLANGAH CRES 10,Telok Blangah,1.689,20.26666667,59
329,1.273597187,103.8119421,TELOK BLANGAH DR 54,Telok Blangah,0.629,7.533333333,53
330,1.27637531,103.8113719,TELOK BLANGAH HTS 70A,Telok Blangah,1.018,12.21666667,54
331,1.270918709,103.8226854,TELOK BLANGAH RISE 42,HarbourFront,1.368,16.41666667,59
332,1.276661921,103.807128,TELOK BLANGAH ST 31 91A,Labrador Park,0.986,11.83333333,53
333,1.276531695,103.8075142,TELOK BLANGAH ST 31 92A,Telok Blangah,1.182,14.2,53
334,1.286358471,103.8296262,BOON TIONG RD 10A,Tiong Bahru,0.399,4.8,68
335,1.287016949,103.8303033,BOON TIONG RD 8B,Tiong Bahru,0.564,6.766666667,69
336,1.28652537,103.8301248,BOON TIONG RD 8A,Tiong Bahru,0.478,5.733333333,68
337,1.286336847,103.8292048,BOON TIONG RD 10B,Tiong Bahru,0.376,4.516666667,67
338,1.273901446,103.8394173,CANTONMENT CL 18,Outram Park,0.924,11.1,64
339,1.291698335,103.8273345,DELTA AVE 3,Tiong Bahru,1.08,12.96666667,67
340,1.292231451,103.8276007,DELTA AVE 5,Tiong Bahru,1.106,13.28333333,68
341,1.290066863,103.8292459,HAVELOCK RD 55,Tiong Bahru,1.033,12.38333333,69
342,1.289308932,103.8292333,HAVELOCK RD 54,Tiong Bahru,1.011,12.11666667,69
343,1.289336654,103.8289203,HAVELOCK RD 53,Tiong Bahru,0.96,11.51666667,69
344,1.282681051,103.8265834,JLN MEMBINA 118D,Tiong Bahru,0.489,5.866666667,64
345,1.283092071,103.8255924,JLN MEMBINA 26B,Tiong Bahru,0.543,6.516666667,65
346,1.28362147,103.825391,JLN MEMBINA 25B,Tiong Bahru,0.517,6.216666667,65
347,1.284748327,103.8268757,JLN MEMBINA 23,Tiong Bahru,0.27,3.25,65
348,1.288632893,103.8105346,JLN RUMAH TINGGI 40,Redhill,0.919,11.03333333,59
349,1.288633659,103.8096439,JLN RUMAH TINGGI 38,Redhill,1.018,12.21666667,59
350,1.28295504,103.8279833,KIM TIAN PL 120,Tiong Bahru,0.718,8.616666667,64
351,1.281155585,103.8272666,KIM TIAN RD 119B,Tiong Bahru,0.826,9.916666667,64
352,1.280917569,103.8283703,KIM TIAN RD 131B,Tiong Bahru,1.013,12.16666667,64
353,1.281489151,103.827672,KIM TIAN RD 119C,Tiong Bahru,0.816,9.8,64
354,1.281153031,103.8288562,KIM TIAN RD 129,Tiong Bahru,1.03,12.36666667,64
355,1.2823137,103.8293115,KIM TIAN RD 126C,Tiong Bahru,0.863,10.36666667,64
356,1.289075068,103.8153184,LENGKOK BAHRU 63B,Redhill,0.229,2.75,62
357,1.288053157,103.8152771,REDHILL RD 75A,Redhill,0.318,3.816666667,62
358,1.287963807,103.8162431,REDHILL RD 74A,Redhill,0.281,3.366666667,62
359,1.288381067,103.8173911,REDHILL RD 77A,Redhill,0.216,2.583333333,64
360,1.277767863,103.8217024,TELOK BLANGAH CRES 17,Tiong Bahru,1.528,18.33333333,60
361,1.275705008,103.8120071,TELOK BLANGAH HTS 61,Telok Blangah,1.009,12.1,54
362,1.275996185,103.810863,TELOK BLANGAH HTS 70C,Telok Blangah,0.881,10.58333333,53
363,1.27736919,103.8082549,TELOK BLANGAH HTS 88,Telok Blangah,1.125,13.51666667,53
364,1.272099266,103.8232451,TELOK BLANGAH RISE 40,HarbourFront,1.492,17.91666667,60
365,1.275328095,103.8073231,TELOK BLANGAH ST 31 93A,Labrador Park,0.841,10.1,52
366,1.27535722,103.8079773,TELOK BLANGAH ST 31 93B,Telok Blangah,0.756,9.083333333,52
367,1.27587917,103.8073298,TELOK BLANGAH ST 31 92B,Labrador Park,0.894,10.73333333,52
368,1.277734578,103.8070933,TELOK BLANGAH ST 31 90A,Labrador Park,1.121,13.45,53
369,1.277283677,103.8069162,TELOK BLANGAH ST 31 90B,Labrador Park,1.064,12.76666667,53
370,1.286857679,103.8328459,BOON TIONG RD 2C,Tiong Bahru,0.837,10.05,71
371,1.281568739,103.8077317,DEPOT RD 112B,Labrador Park,1.689,20.28333333,54
372,1.287877158,103.8114409,HOY FATT RD 50,Redhill,0.812,9.75,60
373,1.277785233,103.8300015,JLN BT MERAH 143,Tiong Bahru,1.353,16.23333333,64
374,1.28178928,103.8259896,JLN MEMBINA 118B,Tiong Bahru,0.71,8.516666667,64
375,1.282650681,103.8281785,KIM TIAN PL 121A,Tiong Bahru,0.717,8.616666667,64
376,1.286868975,103.8194359,REDHILL LANE 83,Redhill,0.547,6.566666667,64
377,1.287758183,103.8194936,REDHILL LANE 81,Redhill,0.478,5.75,64
378,1.287415991,103.8194748,REDHILL LANE 82,Redhill,0.494,5.933333333,64
379,1.272201815,103.8110608,TELOK BLANGAH DR 49,Telok Blangah,0.411,4.933333333,53
380,1.274132973,103.8096326,TELOK BLANGAH DR 66,Telok Blangah,0.55,6.6,53
381,1.275363231,103.8087844,TELOK BLANGAH HTS 74,Telok Blangah,0.716,8.6,53
382,1.271747245,103.8225083,TELOK BLANGAH RISE 39,HarbourFront,1.59,19.08333333,59
383,1.290659806,103.8326083,ZION RD 87,Tiong Bahru,1.262,15.13333333,72
384,1.388538273,103.7687733,SEGAR RD 547C,Segar,0.163,1.95,28
385,1.388901126,103.7690032,SEGAR RD 547D,Segar,0.212,2.533333333,26
386,1.380655025,103.7736987,BANGKIT RD 250,Bangkit,0.168,2.016666667,29
387,1.379953428,103.7740584,BANGKIT RD 252,Bangkit,0.225,2.7,29
388,1.380300455,103.774175,BANGKIT RD 251,Bangkit,0.207,2.483333333,29
389,1.374959633,103.7714665,PENDING RD 227,Pending,0.198,2.366666667,30
